HR;Hm;km;maxHR;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;bike;type;date;endtime;starttime;rider_weight;rider_height;ride_type;duration
;214,4;35,72041;;308,2;40,9788;211,2;48,80002976;48,70365095;9,517227849;9,170843856;22,2244635;Stevens Elite;Trecking;17.07.20;10:48:03;08:58:44;73;183;Pendeln;01:49:19
;208,4;35,29607;;353,6;39,8736;254;48,79819513;48,70367518;9,517239081;9,170683175;23,64386931;Stevens Elite;Trecking;16.08.19;19:59:43;18:31:56;73;183;Pendeln;01:27:47
;684,6;50,13588;;561,4;56,7;272;48,75779822;48,70778818;9,727233751;9,506604038;25,51229057;Rose PRO;Rennrad;29.09.19;14:58:44;12:34:30;73;183;Training;02:24:14
124,7135417;577;35,76091;167;396,6;51,8652;273;48,71719452;48,65235949;9,592695488;9,435017221;24,85450781;Rose PRO;Rennrad;16.09.18;17:10:56;15:34:29;70;183;Training;01:36:27
;146,8;35,18156;;309,8;42,5916;219,6;48,79829521;48,70365053;9,517359193;9,170432389;25,3861329;Carver Distaco 6000;Rennrad;19.07.19;08:51:16;07:29:42;73;183;Pendeln;01:21:34
;150,6;34,882;;317,4;36,9828;223,6;48,79811567;48,70365431;9,517243858;9,170902949;22,42207792;Stevens Elite;Trecking;08.06.20;09:44:05;08:13:42;72;183;Pendeln;01:30:23
;454,4;22,03631;;475,8;37,386;263,2;48,75377608;48,713956;9,551336411;9,489531862;18,00411948;Rose PRO;Rennrad;05.05.20;13:52:00;12:34:17;73;183;Training;01:17:43
;304;21,71411;;433,8;42,39;209,2;44,12524623;44,06705017;5,239868648;5,17620977;20,28861593;Rose PRO;Rennrad;19.06.19;08:53:36;07:31:59;73;183;Training;01:21:37
;765,8;74,80448;;478,8;54,7524;227,2;48,81370299;48,7077979;9,723590054;9,460447663;26,58221121;Rose PRO;Rennrad;13.10.19;15:27:02;12:26:49;74;183;Training;03:00:13
;669,4;45,49481;;486,4;53,1396;278,4;48,76670005;48,71548109;9,561228817;9,490549592;26,38648702;Rose PRO;Rennrad;08.06.18;16:19:26;14:12:21;73;183;Training;02:07:05
;388,2;16,05416;;455,4;41,1804;267,2;48,74683385;48,71394443;9,517420549;9,480477059;17,17575366;CUBE AIM RACE;MTB;04.05.20;13:52:01;12:48:28;74;183;Training;01:03:33
;199,4;35,16375;;319,8;37,0152;228,2;48,79813051;48,70364366;9,517237991;9,170442112;20,87128777;Stevens Elite;Trecking;08.06.20;17:50:51;16:10:12;72;183;Pendeln;01:40:39
;216,2;36,74129;;364,2;42,7608;253,6;48,79821273;48,70360502;9,523474295;9,170464827;23,49285129;Stevens Elite;Trecking;20.08.18;20:06:31;18:34:38;71;183;Pendeln;01:31:53
;204,8;34,69544;;326;37,0836;228,8;48,79830846;48,70363528;9,517309992;9,170673955;22,67096203;Stevens Elite;Trecking;04.09.17;08:22:49;06:49:34;73;183;Pendeln;01:33:15
124,3238095;666,2;91,26916;165;75,8;48,7404;-6,4;54,24595753;54,01780766;10,98623073;10,70098023;24,59398462;Giant;Rennrad;07.05.19;15:01:07;10:02:18;74;183;Training;04:58:49
;143,6;35,04073;;308,6;45,7488;223,2;48,79826688;48,70364542;9,517034814;9,170975285;25,35957427;Carver Distaco 6000;Rennrad;20.07.18;08:26:00;07:04:38;73;183;Pendeln;01:21:22
;629,2;65,10801;;517,6;56,9016;287,2;48,79331594;48,7078062;9,743466312;9,51484764;27,22714304;Rose PRO;Rennrad;05.07.20;12:00:28;09:28:04;73;183;Training;02:32:24
;179,8;35,00574;;292,4;40,3092;202,2;48,79809564;48,70365355;9,517333629;9,170818543;22,9440169;Stevens Elite;Trecking;16.09.19;08:59:25;07:26:06;73;183;Pendeln;01:33:19
;336,8;14,29274;;444,8;39,5352;256,8;48,74680141;48,71395089;9,517258443;9,48043339;18,13519651;Rose PRO;Rennrad;27.03.20;16:02:53;15:10:48;75;183;Training;00:52:05
;192;35,21374;;368,2;38,9988;288;48,79821248;48,70362396;9,517217288;9,170362232;23,06261386;Stevens Elite;Trecking;03.06.19;20:39:51;19:09:40;73;183;Pendeln;01:30:11
;204;35,3908;;299,8;38,7288;209;48,79821944;48,70363821;9,517217372;9,170627687;21,08954274;Stevens Elite;Trecking;03.07.19;21:18:41;19:40:09;73;183;Pendeln;01:38:32
;361,2;33,37056;;399,8;48,3048;282,2;48,72038199;48,66375485;9,625135129;9,514844706;25,61716558;Rose PRO;Rennrad;14.07.20;19:08:58;17:47:00;73;183;Training;01:21:58
;31,8;5,55968;;341,4;36,144;295;48,8008734;48,77299762;9,217344979;9,170603296;20,53890404;Stevens Elite;Trecking;09.08.17;21:21:22;21:05:04;73;183;Training;00:16:18
;248;36,84332;;292,2;40,5432;204;48,7982792;48,70364534;9,523472534;9,170651324;23,08477545;Stevens Elite;Trecking;18.06.18;20:21:57;18:47:36;73;183;Pendeln;01:34:21
;182,6;35,03452;;342,2;36,4788;250,2;48,79826177;48,70366042;9,517292138;9,1709664;21,39746877;Stevens Elite;Trecking;10.09.18;08:11:21;06:33:11;70;183;Pendeln;01:38:10
;295,2;24,19588;;487,6;58,7484;269,6;48,76654859;48,71545125;9,561059922;9,490533667;27,6583126;Rose PRO;Rennrad;02.11.18;16:38:06;15:40:57;75;183;Training;00:57:09
;1086,2;46,18305;;483,2;57,474;303,8;48,7662092;48,71640804;9,519556677;9,49073324;25,76721558;Rose PRO;Rennrad;17.08.19;17:48:52;15:37:52;73;183;Training;02:11:00
;470,8;53,30381;;498,8;48,7404;267,2;48,78594968;48,70777728;9,704753067;9,514832972;25,90429383;Rose PRO;Rennrad;13.07.20;18:13:46;16:03:34;73;183;Training;02:10:12
;236,2;35,34533;;389,4;38,3256;265,2;48,79820821;48,70367057;9,517264143;9,170633722;21,47358719;Stevens Elite;Trecking;26.08.19;19:27:39;17:48:44;73;183;Pendeln;01:38:55
;879,4;59,08573;;445,4;56,9016;205,4;48,7915995;48,70362103;9,561099317;9,404816888;26,00288069;Rose PRO;Rennrad;12.03.17;14:27:18;11:55:42;75;183;Training;02:31:36
;228;37,36184;;377;42,5916;257,2;48,79829454;48,70364944;9,523501284;9,170550071;23,96276684;Stevens Elite;Trecking;15.06.18;19:57:31;18:23:55;73;183;Pendeln;01:33:36
;753,6;45,43243;;428,6;49,95;103;49,99136944;49,88884519;7,130330717;6,996158995;25,22241921;Rose PRO;Rennrad;10.09.17;10:44:08;08:46:42;73;183;Training;01:57:26
;1253,4;157,52394;;81;46,7244;-13,2;54,40226569;54,02702951;10,75753268;10,12027829;23,13495759;Giant;Rennrad;05.05.19;19:05:08;06:12:52;74;183;Training;12:52:16
;202;34,36639;;303,2;39,7368;209;48,79996799;48,70364584;9,516975051;9,170790045;21,133299;Stevens Elite;Trecking;28.10.16;08:27:25;06:53:50;74;183;Pendeln;01:33:35
;841;40,62051;;495,4;50,7888;245;48,79753942;48,71704892;9,51958417;9,404855277;25,08520169;Rose PRO;Rennrad;11.06.20;17:54:49;16:05:10;73;183;Training;01:49:39
;203,8;34,89446;;244;39,5712;154,8;48,798301;48,70363796;9,516755529;9,170857603;23,10409397;Stevens Elite;Trecking;04.06.18;08:07:33;06:38:51;73;183;Pendeln;01:28:42
;200,8;34,62833;;277;36,9144;175,8;48,79833084;48,70365154;9,517385932;9,170831535;23,55402777;Stevens Elite;Trecking;15.03.17;08:44:54;07:14:44;75;183;Pendeln;01:30:10
